build_number,execution_time,name,status,duration_ms,error,screenshot,longrepr
75,2025-11-23 18:13:02,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1308,,,
75,2025-11-23 18:13:02,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,340,,,
75,2025-11-23 18:13:02,tests/test_negative_ui.py::test_empty_fields[chromium],passed,323,,,
75,2025-11-23 18:13:02,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,349,,,
76,2025-11-23 20:52:45,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,266,,,
77,2025-11-23 21:02:29,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,330,,,
78,2025-11-24 00:46:33,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,248,,,
79,2025-11-24 06:16:43,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,266,,,
80,2025-11-24 09:47:51,tests/test_1login_ui.py::test_valid_login[chromium],failed,330,"AssertionError: Login failed
assert 'inventory' in 'https://www.saucedemo.com/'
 +  where 'https://www.saucedemo.com/' = <Page url='https://www.saucedemo.com/'>.url",,
80,2025-11-24 09:47:51,tests/test_cart_ui.py::test_valid_login[chromium],passed,319,,,
80,2025-11-24 09:47:51,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1186,,,
80,2025-11-24 09:47:51,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,265,,,
80,2025-11-24 09:47:51,tests/test_negative_ui.py::test_empty_fields[chromium],passed,235,,,
80,2025-11-24 09:47:51,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,263,,,
0,2025-11-24 10:57:58,tests/test_1login_ui.py::test_valid_login[chromium],failed,50,,https://raw.githubusercontent.com/YOUR_USERNAME/YOUR_REPO_NAME/main/results/screenshots/1763981806_tests_test_1login_ui.py_test_valid_login_chromium_.png,"tests\test_1login_ui.py:7: in test_valid_login
    page.goto(""https://www.saucedemo.com/"", timeout=30000)
C:\Users\ASUS\AppData\Local\Programs\Python\Python313\Lib\site-packages\playwright\sync_api\_generated.py:9019: in goto
    self._sync(
C:\Users\ASUS\AppData\Local\Programs\Python\Python313\Lib\site-packages\playwright\_impl\_page.py:555: in goto
    return await self._main_frame.goto(**locals_to_params(locals()))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
C:\Users\ASUS\AppData\Local\Programs\Python\Python313\Lib\site-packages\playwright\_impl\_frame.py:153: in goto
    await self._channel.send(
C:\Users\ASUS\AppData\Local\Programs\Python\Python313\Lib\site-packages\playwright\_impl\_connection.py:69: in send
    return await self._connection.wrap_api_call(
C:\Users\ASUS\AppData\Local\Programs\Python\Python313\Lib\site-packages\playwright\_impl\_connection.py:559: in wrap_api_call
    raise rewrite_error(error, f""{parsed_st['apiName']}: {error}"") from None
E   playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
E   Call log:
E     - navigating to ""https://www.saucedemo.com/"", waiting until ""load""
SCREENSHOT:D:\VS Code\python_playwright\results\screenshots\1763981806_tests_test_1login_ui.py_test_valid_login_chromium_.png"
0,2025-11-24 10:57:58,tests/test_cart_ui.py::test_valid_login[chromium],passed,395,,,
0,2025-11-24 10:57:58,tests/test_logout_ui.py::test_logout_after_login[chromium],passed,1290,,,
0,2025-11-24 10:57:58,tests/test_negative_ui.py::test_invalid_credentials[chromium],passed,310,,,
0,2025-11-24 10:57:58,tests/test_negative_ui.py::test_empty_fields[chromium],passed,310,,,
0,2025-11-24 10:57:58,tests/test_negative_ui.py::test_locked_out_user[chromium],passed,332,,,
